angle,predicted_impedance,impedance,Error,,slope_x,slope_y,slope,imp
262.9110651,19.94719228,19.95106,,,,,,
262.3836608,19.62891702,19.63342,,,,,,
261.7683557,19.62956357,19.63342,,,,,,
261.2409514,19.94462761,19.95106,,,,,,
260.3619442,19.94589869,19.95106,,,,,,
259.6587384,20.47904375,20.48293,,,,,,
259.131334,20.13312207,20.13964,,,,,,
258.2523268,19.94711836,19.95106,,,,,,
257.7249224,19.62745412,19.63342,,,,,,
256.9338159,19.94094332,19.95106,,,,,,
255.6153051,20.47881202,20.48293,,,,,,
255.0879007,19.946896,19.95106,,,,,,
254.5604964,19.94613932,19.95106,,,,,,
253.9451913,19.62914478,19.63342,,,,,,
253.417787,19.62690035,19.63342,,,,,,
252.6266805,19.944403,19.95106,,,,,,
251.8355739,19.94578106,19.95106,,,,,,
251.2202689,19.94491228,19.95106,,,,,,
250.5170631,19.62714407,19.63342,,,,,,
249.8138573,20.13323005,20.13964,,,,,,
249.1106515,19.62604193,19.63342,,,,,,
248.319545,19.94434792,19.95106,,,,,,
247.6163392,19.62569013,19.63342,,,,,,
246.8252327,19.94313544,19.95106,,,,,,
246.0341262,19.62711874,19.63342,,,,,,
245.4188211,19.6269961,19.63342,,,,,,
244.803516,19.62402714,19.63342,,,,,,
243.9245088,19.6247467,19.63342,,,,,,
243.1334023,19.94516126,19.95106,,,,,,
242.6059979,19.62439647,19.63342,,,,,,
241.8148914,19.94078706,19.95106,,,,,,
240.9358842,19.62818649,19.63342,,,,,,
240.4963806,19.94147797,19.95106,,,,,,
239.705274,19.62691761,19.63342,,,,,,
239.1778697,19.94113759,19.95106,,,,,,
238.3867632,19.62216262,19.63342,,,,,,
237.5077559,19.62539832,19.63342,,,,,,
236.8924509,19.62411438,19.63342,,,,,,
236.1892451,19.62516108,19.63342,,,,,,
235.57394,19.62264876,19.63342,,,,,,
234.7828335,19.62492966,19.63342,,,,,,
234.1675284,19.94000828,19.95106,,,,,,
233.3764219,19.9411176,19.95106,,,,,,
232.6732161,19.62337604,19.63342,,,,,,
231.9700103,19.62073848,19.63342,,,,,,
231.0910031,19.62447048,19.63342,,,,,,
230.475698,19.1381004,19.1471,,,,,,
229.860393,19.61919841,19.63342,,,,,,
228.893485,19.62433427,19.63342,,,,,,
228.2781799,19.1392996,19.1471,,,,,,
227.7507756,19.62301392,19.63342,,,,,,
227.0475698,19.43096352,19.44136,,,,,,
226.344364,19.62046595,19.63342,,,,,,
225.4653568,19.62439852,19.63342,,,,,,
224.8500517,19.62317662,19.63342,,,,,,
224.1468459,19.62453189,19.63342,,,,,,
223.5315408,19.13455544,19.1471,,,,,,
222.6525336,19.62354186,19.63342,,,,,,
221.9493278,19.62491296,19.63342,,,,,,
221.3340228,19.42829324,19.44136,,,,,,
220.3671148,19.13786399,19.1471,,,,,,
219.663909,19.94430039,19.95106,,,,,,
219.1365047,19.62465462,19.63342,,,,,,
218.4332989,19.13864618,19.1471,,,,,,
217.7300931,19.1380025,19.1471,,,,,,
216.9389866,19.14035621,19.1471,,,,,,
216.3236815,19.62610159,19.63342,,,,,,
215.6204757,19.62655133,19.63342,,,,,,
214.9172699,19.13995753,19.1471,,,,,,
214.1261634,19.94527446,19.95106,,,,,,
213.4229576,19.43676597,19.44136,,,,,,
212.8076525,19.14242272,19.1471,,,,,,
212.1044467,19.63239731,19.1471,,,,,,
210.6101344,nan,19.63342,,,,,,
210.3464323,19.14776995,19.1471,,,,,,
210.3464323,19.1478172,19.1471,,,,,,
210.5222337,19.44335484,19.1471,,,,,,
210.6980352,19.14937413,19.44136,,,,,,
211.1375388,19.63761173,19.1471,,,,,,
211.5770424,19.15129584,19.63342,,,,,,
212.2802482,19.44601837,19.1471,,,,,,
212.8955533,19.44569971,19.44136,,,,,,
213.5108583,19.15335308,19.44136,,,,,,
214.0382627,19.15650212,19.1471,,,,,,
214.7414685,19.15352744,19.1471,,,,,,
215.7083764,19.15384379,19.1471,,,,,,
216.3236815,19.64045652,19.1471,,,,,,
216.9389866,19.1576148,19.63342,,,,,,
217.5542916,19.15586538,19.1471,,,,,,
218.4332989,19.44926064,19.1471,,,,,,
219.1365047,19.45180079,19.44136,,,,,,
219.7518097,19.15661714,19.44136,,,,,,
220.5429162,19.15681085,19.1471,,,,,,
221.246122,19.64329814,19.1471,,,,,,
221.9493278,19.15586072,19.63342,,,,,,
222.6525336,19.15722464,19.1471,,,,,,
223.2678387,19.1598907,19.1471,,,,,,
223.9710445,19.15612148,19.1471,,,,,,
224.8500517,19.15875607,19.1471,,,,,,
225.4653568,19.15879446,19.1471,,,,,,
226.2564633,19.64382608,19.1471,,,,,,
227.0475698,19.6412204,19.63342,,,,,,
227.7507756,19.45174182,19.63342,,,,,,
228.2781799,19.15744623,19.44136,,,,,,
228.9813857,19.15867887,19.1471,,,,,,
229.6845915,19.64236952,19.1471,,,,,,
230.475698,19.64231099,19.63342,,,,,,
231.0910031,19.64475262,19.63342,,,,,,
231.7063082,19.15954426,19.63342,,,,,,
232.4974147,19.16784707,19.1471,,,,,,
233.3764219,19.63941449,19.1471,,,,,,
234.8707342,19.1542243,19.63342,,,,,,
235.3102378,19.64046628,19.1471,,,,,,
235.8376422,19.15406569,19.63342,,,,,,
236.3650465,19.15625823,19.1471,,,,,,
236.8924509,19.450366,19.1471,,,,,,
237.5956567,19.96100471,19.44136,,,,,,
238.2988625,19.63993751,19.95106,,,,,,
239.089969,19.64196802,19.63342,,,,,,
239.6173733,19.15548389,19.63342,,,,,,
240.3205791,19.961307,19.1471,,,,,,
241.0237849,19.6404383,19.95106,,,,,,
241.9027921,19.64225645,19.63342,,,,,,
242.5180972,19.64204685,19.63342,,,,,,
243.3092037,19.15459382,19.63342,,,,,,
244.1003102,19.95657375,19.1471,,,,,,
244.803516,19.64063141,19.95106,,,,,,
245.3309204,19.64047376,19.63342,,,,,,
246.0341262,19.64202067,19.63342,,,,,,
246.737332,19.6393011,19.63342,,,,,,
247.6163392,19.64000499,19.63342,,,,,,
248.2316443,19.95750431,19.63342,,,,,,
248.9348501,19.95814828,19.95106,,,,,,
249.6380558,19.63958341,19.95106,,,,,,
250.4291624,19.95784736,19.63342,,,,,,
251.1323681,19.64079056,19.95106,,,,,,
251.9234747,19.95611932,19.63342,,,,,,
252.8024819,19.63769522,19.95106,,,,,,
253.417787,19.639734,19.63342,,,,,,
253.9451913,19.6382552,19.63342,,,,,,
254.7362978,19.6395489,19.63342,,,,,,
255.3516029,19.95643393,19.63342,,,,,,
256.1427094,19.63807215,19.95106,,,,,,
256.8459152,19.64130424,19.63342,,,,,,
257.4612203,19.63732706,19.63342,,,,,,
258.516029,19.63924777,19.63342,,,,,,
259.0434333,20.14415305,19.63342,,,,,,
259.8345398,19.63856568,20.13964,,,,,,
260.4498449,19.95620208,19.63342,,,,,,
261.1530507,19.63856827,19.95106,,,,,,
261.8562565,19.63793757,19.63342,,,,,,
262.5594623,19.63860653,19.63342,,,,,,
263.1747673,19.64061024,19.63342,,,,,,
263.8779731,19.63737893,19.63342,,,,,,
264.8448811,19.63807886,19.63342,,,,,,
265.3722854,19.64084381,19.63342,,,,,,
265.9875905,19.63891082,19.63342,,,,,,
266.9544984,19.63759556,19.63342,,,,,,
267.6577042,19.63835984,19.63342,,,,,,
268.1851086,19.64061701,19.63342,,,,,,
268.8004137,20.14627217,19.63342,,,,,,
269.6794209,19.63944978,20.13964,,,,,,
270.4705274,19.63880758,19.63342,,,,,,
271.1737332,19.64130976,19.63342,,,,,,
271.7890383,19.6407281,19.63342,,,,,,
272.6680455,19.95688814,19.63342,,,,,,
273.459152,20.48889042,19.95106,,,,,,
274.0744571,19.63951824,20.48293,,,,,,
274.6897622,19.64329427,19.63342,,,,,,
275.3050672,20.14611691,19.63342,,,,,,
276.2719752,19.9567358,20.13964,,,,,,
276.8872802,20.15134779,19.95106,,,,,,
277.4146846,19.95811611,20.13964,,,,,,
278.4694933,19.95724498,19.95106,,,,,,
279.0847983,19.96165617,19.95106,,,,,,
279.6122027,19.64662354,19.95106,,,,,,
280.4912099,19.63908238,19.63342,,,,,,
281.5460186,20.48985205,19.63342,,,,,,
281.9855222,20.1478933,20.48293,,,,,,
282.5129266,20.1505362,20.13964,,,,,,
283.1282316,20.14833908,20.13964,,,,,,
283.9193382,20.14982465,20.13964,,,,,,
284.5346432,19.64122978,20.13964,,,,,,
285.237849,20.1516317,19.63342,,,,,,
285.7652534,20.49804005,20.13964,,,,,,
286.5563599,20.49566463,20.48293,,,,,,
287.5232678,20.49306587,20.48293,,,,,,
288.3143744,20.14997747,20.48293,,,,,,
288.9296794,20.15475541,20.13964,,,,,,
289.5449845,20.49531411,20.13964,,,,,,
290.4239917,20.15068633,20.48293,,,,,,
291.1271975,20.15087997,20.13964,,,,,,
291.7425026,20.49931714,20.13964,,,,,,
292.3578077,20.49631322,20.48293,,,,,,
293.2368149,20.15154468,20.48293,,,,,,
293.9400207,20.15172136,20.13964,,,,,,
294.5553257,20.16074729,20.13964,,,,,,
295.1706308,20.15217429,20.13964,,,,,,
296.2254395,20.15232991,20.13964,,,,,,
296.8407446,20.15432449,20.13964,,,,,,
297.4560496,20.15637847,20.13964,,,,,,
298.1592554,20.15469946,20.13964,,,,,,
298.9503619,20.15294599,20.13964,,,,,,
299.6535677,20.16270218,20.13964,,,,,,
300.2688728,20.15322292,20.13964,,,,,,
301.3236815,20.1552636,20.13964,,,,,,
301.9389866,20.15141802,20.13964,,,,,,
302.6421923,20.15343514,20.13964,,,,,,
303.1695967,20.15348129,20.13964,,,,,,
303.7849018,20.50474159,20.13964,,,,,,
304.4002068,20.15353727,20.48293,,,,,,
305.3671148,20.15551635,20.13964,,,,,,
305.9824199,20.15944163,20.13964,,,,,,
306.6856256,20.1534483,20.13964,,,,,,
307.5646329,20.15338502,20.13964,,,,,,
308.179938,20.15524789,20.13964,,,,,,
308.795243,20.50032681,20.13964,,,,,,
309.4984488,20.50011486,20.48293,,,,,,
310.2895553,20.15283148,20.48293,,,,,,
311.0806618,19.96591897,20.13964,,,,,,
311.6959669,20.49752559,19.95106,,,,,,
312.3991727,20.15746135,20.48293,,,,,,
313.1023785,20.15180035,20.13964,,,,,,
313.9813857,20.49647379,20.13964,,,,,,
314.5966908,20.49927218,20.48293,,,,,,
315.2998966,20.15065211,20.48293,,,,,,
316.1789038,20.49504354,20.13964,,,,,,
316.7942089,20.14979417,20.48293,,,,,,
317.4974147,20.15069604,20.13964,,,,,,
318.1127198,20.16098579,20.13964,,,,,,
318.8159255,20.49704847,20.13964,,,,,,
320.3102378,20.14544434,20.48293,,,,,,
321.4529473,20.48909302,20.13964,,,,,,
321.9803516,20.48691181,20.48293,,,,,,
322.5956567,20.48853486,20.48293,,,,,,
323.0351603,21.04198211,20.48293,,,,,,
323.7383661,21.04076332,21.03789,,,,,,
324.3536711,20.48550711,21.03789,,,,,,
324.8810755,20.14134361,20.48293,,,,,,
325.4963806,20.14046393,20.13964,,,,,,
326.1116856,20.13920486,20.13964,,,,,,
326.8148914,20,20.13964,,,,,,
